Attr,TotalWorkingYears,Ovt,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,dfh,Age,MonthlyIncome,EnvironmentSatisfaction,NumCompaniesWorked
0,3,0,2,2,2,29,45,2269,4,9
1,16,1,16,10,1,9,43,10388,3,1
0,10,0,10,4,9,10,33,5487,2,1
0,18,1,16,14,12,17,28,5410,3,9
0,13,0,5,4,4,3,36,6842,4,0
0,10,0,10,7,8,3,36,2720,2,1
0,7,0,1,1,0,2,33,2496,3,4
0,9,0,5,0,3,1,32,9756,4,0
1,9,1,5,4,0,25,40,9094,4,2
0,16,0,10,9,7,7,31,12490,1,2
0,7,0,5,0,4,8,28,2238,1,2
0,1,0,0,0,0,2,29,2325,1,8
0,1,1,1,1,0,9,27,2515,3,1
0,8,1,2,1,2,2,42,2515,2,2
0,10,0,10,9,2,5,30,6118,4,5
1,29,1,8,1,7,7,21,19237,3,2
0,6,0,6,5,4,9,43,6180,2,1
0,4,0,2,2,2,18,35,4775,3,6
1,1,1,1,0,0,1,29,2319,2,1
0,28,1,5,4,4,4,44,7969,2,1
0,9,0,9,8,7,4,39,9619,1,1
1,10,1,5,2,4,9,24,6142,4,0
0,8,0,3,2,2,7,30,4779,4,7
1,40,0,40,10,6,23,58,10312,4,1
0,6,1,6,5,4,23,24,2725,2,1
0,9,0,9,7,8,10,38,5968,4,0
1,5,1,4,2,2,18,35,4614,4,7
0,22,0,22,3,11,28,25,13503,1,0
0,12,0,5,4,4,8,52,2950,3,9
0,6,0,6,0,2,26,47,5561,2,8
0,9,1,9,1,8,17,30,11916,2,1
0,4,0,4,3,2,2,29,4649,4,4
0,21,0,20,15,12,18,39,18041,2,0
0,19,0,2,2,2,10,33,4240,3,2
0,4,0,3,2,2,7,36,4851,2,0
0,18,0,13,7,7,6,42,13348,3,2
0,7,0,1,0,0,3,36,2835,1,1
0,4,1,3,2,2,7,31,3506,3,0
0,18,0,1,0,0,29,28,9824,2,3
0,17,0,4,2,3,1,46,9396,4,0
1,18,0,4,2,3,8,51,10650,1,2
0,19,0,10,7,9,1,26,5562,4,0
1,10,0,10,8,7,1,30,9714,2,1
0,11,0,3,2,2,16,36,5647,3,7
0,9,0,9,8,7,7,32,8998,1,1
0,10,0,10,7,9,7,30,3491,3,1
0,7,1,6,5,2,18,39,4534,1,6
0,1,0,1,0,0,13,53,2827,3,1
0,4,0,4,3,1,1,35,2977,3,2
1,10,0,1,0,0,16,31,8161,1,7
0,21,0,3,2,2,1,34,15402,2,7
0,6,1,5,2,3,5,31,4821,3,0
1,1,0,1,0,0,10,21,1416,3,1
0,12,0,7,7,7,5,31,7140,4,2
0,22,0,18,16,8,1,30,16595,2,7
0,4,0,4,2,2,1,31,2218,4,0
0,25,0,17,14,11,25,47,8633,1,2
0,20,1,1,0,0,26,42,13191,1,3
0,5,0,4,2,0,5,26,2966,4,0
1,6,1,5,2,3,1,37,4821,2,0
0,10,0,9,3,7,4,23,4103,3,0
0,13,0,8,7,2,1,26,2088,1,1
0,6,0,2,2,2,5,27,2024,1,6
0,12,1,10,7,8,9,35,5415,1,1
0,11,0,9,8,7,11,37,3055,4,5
0,10,0,4,2,3,1,28,3280,3,2
0,4,0,3,2,2,3,34,3737,3,0
0,5,0,5,4,4,14,41,4221,1,7
0,4,0,1,0,0,5,31,4680,2,3
0,4,0,0,0,0,5,32,4648,4,5
0,12,0,5,3,3,3,37,7428,3,2
1,8,1,8,2,7,1,29,2394,3,1
0,22,0,22,17,15,4,42,19232,3,1
0,21,1,2,0,2,23,41,7082,4,7
0,10,0,10,7,7,9,38,2700,3,1
0,6,0,5,3,4,18,35,5561,2,0
0,7,0,7,5,7,1,37,5993,1,1
0,35,1,10,9,4,17,54,19636,4,4
0,12,0,5,2,2,1,43,5562,4,0
0,10,0,8,0,7,3,36,4485,3,2
0,13,0,0,0,0,4,34,2259,3,3
0,14,0,7,1,7,7,54,6854,4,3
0,15,0,12,11,8,19,54,6377,3,5
1,7,1,4,2,3,11,37,2127,4,3
0,1,1,1,1,0,9,32,1859,1,1
0,9,0,9,7,7,1,27,7412,3,1
0,4,0,3,1,2,23,29,2500,1,0
0,8,0,2,2,0,25,39,2093,2,4
0,26,0,5,2,0,3,20,10965,2,8
0,8,1,8,7,0,3,33,2909,4,1
0,17,1,3,0,0,2,36,9602,2,4
0,7,0,0,0,0,4,38,3306,4,1
0,4,1,3,2,2,7,31,4171,3,0
0,24,0,1,0,0,1,55,10239,1,4
0,9,0,9,8,7,8,32,8998,2,1
0,13,0,6,1,5,1,39,5171,3,5
0,1,0,1,0,0,2,32,2827,3,8
0,5,0,4,3,3,7,33,4373,4,5
0,12,1,5,3,2,1,58,5660,4,2
0,21,1,2,0,2,23,41,7082,4,3
0,9,1,9,6,1,4,35,4249,3,1
1,14,0,8,7,7,10,46,7314,3,5
0,10,0,9,8,5,1,28,6674,3,0
0,10,0,9,2,7,18,46,4627,3,0
0,12,1,1,0,0,3,59,2670,3,1
0,36,0,7,3,7,19,54,19717,4,1
0,6,0,5,3,4,28,26,6272,1,1
0,8,1,5,4,2,6,41,6032,4,6
0,8,1,7,6,7,2,47,4537,3,0
0,6,0,5,2,3,2,31,3477,2,1
0,9,0,8,7,7,10,43,2455,3,0
0,5,0,5,3,4,9,41,2289,3,1
1,2,1,2,2,2,5,28,3441,3,1
0,16,0,13,9,12,3,36,9699,1,4
0,10,0,10,7,9,1,29,4319,4,1
0,34,0,33,18,9,10,45,19999,1,0
0,10,1,10,8,9,7,35,5204,3,5
0,10,0,10,3,4,10,30,6578,3,6
0,10,0,1,0,0,5,32,5094,3,6
0,21,1,5,3,3,1,22,17584,1,3
0,6,1,6,5,1,10,18,6833,1,1
1,2,0,2,2,2,9,34,2742,1,0
0,10,0,5,2,0,10,32,11244,3,1
